container_id	milestone_timestamp	location_name	location_city	location_country	location_unlocode	location_facility	description	raw_description	vessel_imo	vessel_mmsi	voyage	mode	vessel
TCLU7537047	2021-08-04 14:30:00 UTC	LONG BEACH	Long Beach	United States	USLGB		Vessel arrived at destination port	Estimated Time of Arrival	7434444	353056000		Vessel	MSC KATIE
DFSU6679443	2021-08-05 14:30:00 UTC	LONG BEACH	Long Beach	United States	USLGB		Vessel arrived at destination port	Estimated Time of Arrival	7434444	353056000		Vessel	MSC KATIE
MSCU7160162	2021-08-04 14:30:00 UTC	LONG BEACH	Long Beach	United States	USLGB		Vessel arrived at destination port	Estimated Time of Arrival	7434444	353056000		Vessel	MSC KATIE
CXDU2162167	2021-08-05 14:30:00 UTC	LONG BEACH	Long Beach	United States	USLGB		Vessel arrived at destination port	Estimated Time of Arrival	7434444	353056000		Vessel	MSC KATIE
FFAU2714334	2021-08-04 14:30:00 UTC	LONG BEACH	Long Beach	United States	USLGB		Vessel arrived at destination port	Estimated Time of Arrival	7434444	353056000		Vessel	MSC KATIE
INKU2382856	2021-08-05 14:30:00 UTC	LONG BEACH	Long Beach	United States	USLGB		Vessel arrived at destination port	Estimated Time of Arrival	7434444	353056000		Vessel	MSC KATIE
MEDU8017039	2021-08-04 14:30:00 UTC	LONG BEACH	Long Beach	United States	USLGB		Vessel arrived at destination port	Estimated Time of Arrival	7434444	353056000		Vessel	MSC KATIE
TCLU5578026	2021-08-04 14:30:00 UTC	LONG BEACH	Long Beach	United States	USLGB		Vessel arrived at destination port	Estimated Time of Arrival	7434444	353056000		Vessel	MSC KATIE
MSCU5248038	2021-08-05 14:30:00 UTC	LONG BEACH	Long Beach	United States	USLGB		Vessel arrived at destination port	Estimated Time of Arrival	7434444	353056000		Vessel	MSC KATIE
MEDU6555930	2021-08-05 14:30:00 UTC	LONG BEACH	Long Beach	United States	USLGB		Vessel arrived at destination port	Estimated Time of Arrival	7434444	353056000		Vessel	MSC KATIE
MSCU1268695	2021-08-05 14:30:00 UTC	LONG BEACH	Long Beach	United States	USLGB		Vessel arrived at destination port	Estimated Time of Arrival	7434444	353056000		Vessel	MSC KATIE
TLLU4443549	2021-08-06 08:00:00 UTC	LOS ANGELES (CA), CHINA. PEOPLE'S REPUBLIC	Washington	United States	USLAX		Estimated arrival at destination	Estimated arrival at destination				Vessel	
TGHU9708791	2021-07-20 05:00:00 UTC	LOS ANGELES (CA), CHINA. PEOPLE'S REPUBLIC	Washington	United States	USLAX		Estimated arrival at destination	Estimated arrival at destination				Vessel	
ZCSU7106355	2021-07-20 05:00:00 UTC	LOS ANGELES (CA), CHINA. PEOPLE'S REPUBLIC	Washington	United States	USLAX		Estimated arrival at destination	Estimated arrival at destination				Vessel	
TGBU7240673	2021-07-20 05:00:00 UTC	LOS ANGELES (CA), CHINA. PEOPLE'S REPUBLIC	Washington	United States	USLAX		Estimated arrival at destination	Estimated arrival at destination				Vessel	
ZCSU7381803	2021-07-20 05:00:00 UTC	LOS ANGELES (CA), CHINA. PEOPLE'S REPUBLIC	Washington	United States	USLAX		Estimated arrival at destination	Estimated arrival at destination				Vessel	
TCNU4564914	2021-07-10 02:00:00 UTC	LOS ANGELES (CA), CHINA. PEOPLE'S REPUBLIC	Washington	United States	USLAX		Estimated arrival at destination	Estimated arrival at destination				Vessel	
OOCU7821056	2021-08-25 23:00:00 UTC						Estimated arrival at destination	Estimated arrival at destination				Vessel	
CAIU9428331	2021-08-25 23:00:00 UTC						Estimated arrival at destination	Estimated arrival at destination				Vessel	
CSLU6182287	2021-08-25 23:00:00 UTC						Estimated arrival at destination	Estimated arrival at destination				Vessel	
CBHU5816262	2021-08-25 23:00:00 UTC						Estimated arrival at destination	Estimated arrival at destination				Vessel	
BEAU2044860	2021-08-21 08:00:00 UTC						Estimated arrival at destination	Estimated arrival at destination				Vessel	
OOCU7443038	2021-08-21 08:00:00 UTC						Estimated arrival at destination	Estimated arrival at destination				Vessel	
OOLU1245915	2021-08-25 23:00:00 UTC						Estimated arrival at destination	Estimated arrival at destination				Vessel	
CCLU7975366	2021-08-25 23:00:00 UTC						Estimated arrival at destination	Estimated arrival at destination				Vessel	
DFSU7284047	2021-08-25 23:00:00 UTC						Estimated arrival at destination	Estimated arrival at destination				Vessel	
CAIU8016495	2021-08-16 23:00:00 UTC	NEW YORK	New York	United States	USNYC		Vessel arrived at destination port	Estimated Time of Arrival					MSC TOMOKO
TGCU5008699	2021-08-16 23:00:00 UTC	NEW YORK	New York	United States	USNYC		Vessel arrived at destination port	Estimated Time of Arrival					MSC TOMOKO
TRHU6250958	2021-08-16 23:00:00 UTC	NEW YORK	New York	United States	USNYC		Vessel arrived at destination port	Estimated Time of Arrival					MSC TOMOKO
CBHU6290980	2021-08-25 23:00:00 UTC						Estimated arrival at destination	Estimated arrival at destination				Vessel	
CSNU1076762	2021-09-02 11:00:00 UTC						Estimated arrival at destination	Estimated arrival at destination				Vessel	
TEMU0096163	2021-09-02 11:00:00 UTC						Estimated arrival at destination	Estimated arrival at destination				Vessel	
