container_id,milestone_timestamp,location_city,raw_descripition
SEGU6093421
tracking information
finished_journey = false
"--- End tracking info, if finished journey is true not printing milestones ----"
SEGU6093421,,,
SEGU6093421,2021-08-11 07:00:00 UTC,Los Angeles,Container in transit for import
SEGU6093421,2021-08-10 07:00:00 UTC,Los Angeles,Train arrival for import
SEGU6093421,2021-08-09 07:00:00 UTC,Los Angeles,Train arrival for import
SEGU6093421,2021-08-08 07:00:00 UTC,Winslow,Container on rail for import
SEGU6093421,2021-08-08 05:00:00 UTC,Amarillo,Container on rail for import
SEGU6093421,2021-08-07 05:00:00 UTC,Kansas City,Container on rail for import
SEGU6093421,2021-08-06 05:00:00 UTC,Galesburg,Container on rail for import
SEGU6093421,2021-08-03 04:00:00 UTC,Elkhart,Container on rail for import
SEGU6093421,2021-07-31 04:00:00 UTC,Portsmouth,Container on rail for import
SEGU6093421,2021-07-30 04:00:00 UTC,Norfolk,Container on rail for import
SEGU6093421,2021-07-29 04:00:00 UTC,Norfolk,Container in transit for import
SEGU6093421,2021-07-28 04:00:00 UTC,Norfolk,Full Load on rail for import
SEGU6093421,2021-07-27 04:00:00 UTC,Norfolk,Discharged
SEGU6093421,2021-07-10 00:00:00 UTC,Damietta,Loaded on board
SEGU6093421,2021-07-01 00:00:00 UTC,Damietta,Ready to be loaded
SEGU6093421,2021-06-29 00:00:00 UTC,Damietta,Empty to shipper
TCNU2664600
tracking information
finished_journey = false
"--- End tracking info, if finished journey is true not printing milestones ----"
TCNU2664600,2021-08-11 07:00:00 UTC,Los Angeles,Container in transit for import
TCNU2664600,2021-08-10 07:00:00 UTC,Los Angeles,Train arrival for import
TCNU2664600,2021-08-09 07:00:00 UTC,Los Angeles,Train arrival for import
TCNU2664600,2021-08-08 07:00:00 UTC,Winslow,Container on rail for import
TCNU2664600,2021-08-08 06:00:00 UTC,Belen,Container on rail for import
TCNU2664600,2021-08-08 05:00:00 UTC,Amarillo,Container on rail for import
TCNU2664600,2021-08-07 05:00:00 UTC,Kansas City,Container on rail for import
TCNU2664600,2021-08-06 07:00:00 UTC,Chicago,Container on rail for import
TCNU2664600,2021-08-06 05:00:00 UTC,Galesburg,Container on rail for import
TCNU2664600,2021-08-03 04:00:00 UTC,Elkhart,Container on rail for import
TCNU2664600,2021-07-31 04:00:00 UTC,Portsmouth,Container on rail for import
TCNU2664600,2021-07-30 04:00:00 UTC,Norfolk,Container on rail for import
TCNU2664600,2021-07-29 04:00:00 UTC,Norfolk,Container in transit for import
TCNU2664600,2021-07-28 04:00:00 UTC,Norfolk,Full Load on rail for import
TCNU2664600,2021-07-27 04:00:00 UTC,Norfolk,Discharged
TCNU2664600,2021-07-10 00:00:00 UTC,Damietta,Loaded on board
TCNU2664600,2021-07-01 00:00:00 UTC,Damietta,Ready to be loaded
TCNU2664600,2021-06-29 00:00:00 UTC,Damietta,Empty to shipper
OOLU8616474
tracking information
finished_journey = false
"--- End tracking info, if finished journey is true not printing milestones ----"
OOLU8616474,2021-07-21 17:05:00 UTC,Singapore,Discharged at T/S POD
OOLU8616474,2021-07-16 15:25:00 UTC,Chattogram,Loaded at First POL
OOLU8616474,2021-07-14 22:00:00 UTC,Chattogram,Cargo Received
OOLU8616474,2021-07-14 18:00:00 UTC,Chattogram,Empty Equipment Despatched
OOLU8616474
tracking information
finished_journey = false
"--- End tracking info, if finished journey is true not printing milestones ----"
OOLU8616474,2021-07-21 17:05:00 UTC,Singapore,Discharged at T/S POD
OOLU8616474,2021-07-16 15:25:00 UTC,Chattogram,Loaded at First POL
OOLU8616474,2021-07-14 22:00:00 UTC,Chattogram,Cargo Received
OOLU8616474,2021-07-14 18:00:00 UTC,Chattogram,Empty Equipment Despatched
CCLU7167331
tracking information
finished_journey = false
"--- End tracking info, if finished journey is true not printing milestones ----"
CCLU7167331,2021-07-21 10:45:00 UTC,Singapore,Discharged at T/S POD
CCLU7167331,2021-07-16 15:25:00 UTC,Chattogram,Loaded at First POL
CCLU7167331,2021-07-13 22:00:00 UTC,Chattogram,Cargo Received
CCLU7167331,2021-07-13 18:00:00 UTC,Chattogram,Empty Equipment Despatched
TRHU4736473
tracking information
finished_journey = false
"--- End tracking info, if finished journey is true not printing milestones ----"
TRHU4736473,2021-07-21 20:50:00 UTC,Singapore,Discharged at T/S POD
TRHU4736473,2021-07-16 15:25:00 UTC,Chattogram,Loaded at First POL
TRHU4736473,2021-07-13 22:00:00 UTC,Chattogram,Cargo Received
TRHU4736473,2021-07-13 18:00:00 UTC,Chattogram,Empty Equipment Despatched
GAOU6205117
tracking information
finished_journey = true
"--- End tracking info, if finished journey is true not printing milestones ----"
KOCU4006045
tracking information
finished_journey = true
"--- End tracking info, if finished journey is true not printing milestones ----"
KOCU4675605
tracking information
finished_journey = true
"--- End tracking info, if finished journey is true not printing milestones ----"
KOCU4756857
tracking information
finished_journey = true
"--- End tracking info, if finished journey is true not printing milestones ----"
TCNU1488934
tracking information
finished_journey = false
"--- End tracking info, if finished journey is true not printing milestones ----"
TCNU1488934,2021-09-03 04:00:00 UTC,Toronto,Arrival in
TCNU1488934,2021-08-31 03:00:00 UTC,Halifax,Departure from
TCNU1488934,2021-08-30 15:00:00 UTC,Halifax,Vessel arrival
TCNU1488934,2021-08-28 20:30:00 UTC,Halifax,Vessel arrival
TCNU1488934,2021-08-26 20:30:00 UTC,Halifax,Vessel arrival
TCNU1488934,2021-08-11 11:42:00 UTC,Colombo,Vessel departed
TCNU1488934,2021-08-11 00:41:00 UTC,Colombo,Loaded
TCNU1488934,2021-08-10 17:00:00 UTC,Colombo,Vessel departure
TCNU1488934,2021-08-09 23:00:00 UTC,Colombo,Vessel departure
TCNU1488934,2021-06-28 21:19:00 UTC,Colombo,Arrival in
TCNU1488934,2021-06-28 14:05:00 UTC,Colombo,Discharged
TCNU1488934,2021-06-28 09:36:00 UTC,Colombo,Vessel arrived
TCNU1488934,2021-06-23 23:18:00 UTC,Chattogram,Loaded
TCNU1488934,2021-06-23 07:42:00 UTC,Chattogram,Vessel departed
TCNU1488934,2021-06-22 23:30:00 UTC,Chattogram,Arrival in
TCNU1488934,2021-06-20 23:00:00 UTC,Chattogram,Gate out empty
TCNU5516422
tracking information
finished_journey = false
"--- End tracking info, if finished journey is true not printing milestones ----"
TCNU5516422,2021-08-16 23:00:00 UTC,Elizabeth,Empty Container Returned from Customer
TCNU5516422,2021-08-16 17:00:00 UTC,New York,Gate Out from Inbound Terminal for Delivery to Consignee (or Port Shuttle)
TCNU5516422,2021-08-16 12:30:00 UTC,New York,Unloaded from 'MOL COURAGE 1128' at Port of Discharging
TCNU5516422,2021-08-16 11:00:00 UTC,New York,'MOL COURAGE 1128' POD Berthing Destination
TCNU5516422,2021-08-15 16:00:00 UTC,New York,'MOL COURAGE 1128' Arrival at Port of Discharging
TCNU5516422,2021-08-13 23:00:00 UTC,Elizabeth,Empty Container Returned from Customer
TCNU5516422,2021-08-13 17:00:00 UTC,New York,Gate Out from Inbound Terminal for Delivery to Consignee (or Port Shuttle)
TCNU5516422,2021-08-13 12:30:00 UTC,New York,Unloaded from 'MOL COURAGE 1128' at Port of Discharging
TCNU5516422,2021-08-13 11:00:00 UTC,New York,'MOL COURAGE 1128' POD Berthing Destination
TCNU5516422,2021-08-13 10:00:00 UTC,Elizabeth,Empty Container Returned from Customer
TCNU5516422,2021-08-13 05:00:00 UTC,New York,Gate Out from Inbound Terminal for Delivery to Consignee (or Port Shuttle)
TCNU5516422,2021-08-13 04:00:00 UTC,New York,Gate Out from Inbound Terminal for Delivery to Consignee (or Port Shuttle)
TCNU5516422,2021-08-13 00:30:00 UTC,New York,Unloaded from 'MOL COURAGE 1128' at Port of Discharging
TCNU5516422,2021-08-12 23:30:00 UTC,New York,Unloaded from 'MOL COURAGE 1128' at Port of Discharging
TCNU5516422,2021-08-12 23:00:00 UTC,New York,'MOL COURAGE 1128' POD Berthing Destination
TCNU5516422,2021-08-12 22:00:00 UTC,New York,'MOL COURAGE 1128' POD Berthing Destination
TCNU5516422,2021-08-12 18:30:00 UTC,New York,'MOL COURAGE 1128' Arrival at Port of Discharging
TCNU5516422,2021-08-12 16:00:00 UTC,New York,'MOL COURAGE 1128' Arrival at Port of Discharging
TCNU5516422,2021-08-01 23:00:00 UTC,Damietta,'MOL COURAGE 1128' Departure from Port of Loading
TCNU5516422,2021-08-01 22:00:00 UTC,Damietta,Loaded on 'MOL COURAGE 1128' at Port of Loading
