id,container_id,shipping_company,vizion_reference_id,vision_organization_id,bill_of_lading,latest_status,created_at,updated_at,finished_journey,uploaded
9,DFSU6679443,MEDU,b7dc8cbf-60a6-4091-95e2-22aea32009bf,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,MEDUKA845230,,2021-07-27 00:06:43.481758,2021-07-27 00:07:51.643799,t,t
22,MSCU5248038,MEDU,700cbd6f-9f84-458a-8643-8b755d3ad9eb,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,MEDUKA850982,,2021-07-30 01:23:06.685778,2021-07-30 01:30:07.136414,t,t
8,TCLU7537047,MEDU,3f9a48be-de90-46b7-b313-05e140b1029f,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,MEDUKA852244,,2021-07-27 00:06:43.473181,2021-07-27 00:07:48.421194,f,f
23,SZLU9560138,ONEY,23ae9fbb-14e0-47fb-aea0-8a168bd0df84,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,ONEYDACB13116800,,2021-07-30 01:23:06.71534,2021-07-30 01:30:10.64135,t,t
10,MSCU7160162,MEDU,14aaefb2-d0ec-4aec-ac32-cb36dd66556b,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,MEDUKA845230,,2021-07-27 00:06:43.490288,2021-07-27 00:07:54.90187,f,f
11,CXDU2162167,MEDU,e0dca205-c69f-4396-be38-238a70ae5017,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,MEDUKA845230,,2021-07-27 00:06:43.500952,2021-07-27 00:07:58.147527,f,f
12,FFAU2714334,MEDU,fdbde99b-7958-4c6d-942d-131f51f76318,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,MEDUKA845230,,2021-07-27 00:06:43.509735,2021-07-27 00:08:01.373906,f,f
24,MEDU6555930,MEDU,8d40bd34-c972-4d6c-b4b6-e354c6cc0244,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,MEDUKA850974,,2021-07-30 01:23:06.728478,2021-07-30 01:30:13.925257,t,t
14,MEDU8017039,MEDU,b00376e9-d0a2-4100-b4ee-582ee6f8d2cf,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,MEDUKA853606,,2021-07-27 00:06:43.527119,2021-07-27 00:08:08.497139,f,f
15,TCLU5578026,MEDU,71d60ece-4b25-4c18-894b-982f5f684b94,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,MEDUKA853606,,2021-07-27 00:06:43.535809,2021-07-27 00:08:11.985923,f,f
25,MSCU1268695,MEDU,eaec3139-fad9-42a2-91f5-3df93ab8bdd0,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,MEDUKA853481,,2021-07-30 01:23:06.736839,2021-07-30 01:30:17.215121,t,t
26,HLBU2194717,HLCU,71f05df5-677e-4f61-8967-9c9611c1f0da,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,HLCUDA1210600215,,2021-07-30 01:23:06.798601,2021-07-30 01:30:20.54667,t,t
29,TCLU1529677,ONEY,08ed15dd-670f-4bd9-ab2a-413744055231,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,ONEYDACB14230600,,2021-07-30 01:23:06.904723,2021-07-30 01:30:30.47113,t,t
32,SEGU4468196,ONEY,4f8347f1-974a-40aa-968e-85f9414fc81a,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,ONEYDACB14330700,,2021-07-30 01:23:06.944081,2021-07-30 01:30:41.036327,t,t
20,SLHU4500038,OOLU,ef0b6f5c-257b-43d7-a7da-00d4203efe53,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,OOLU2669839560,,2021-07-27 00:06:43.583665,2021-07-27 00:08:28.879154,f,f
33,GCXU2210170,ONEY,6b8ce57a-1f56-4626-b244-0187b608473e,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,ONEYDACB14330700,,2021-07-30 01:23:06.953274,2021-07-30 01:30:44.29767,t,t
39,TLLU4443549,ZIMU,9f928c94-a3da-4ddf-8868-adb77cea0494,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,ZIMUHAI80034305,,2021-07-30 01:23:07.155373,2021-07-30 01:31:03.457596,t,t
42,TGHU9708791,ZIMU,19a46efb-76fe-4a23-9fdc-a37092260e79,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,ZIMUNGB9704776,,2021-07-30 01:23:07.497668,2021-07-30 01:31:23.568253,t,t
43,ZCSU7106355,ZIMU,1112d7b5-b9c2-4731-b9de-7d22cee8d5e7,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,ZIMUNGB9704776,,2021-07-30 01:23:07.506813,2021-07-30 01:31:26.80754,t,t
44,TGBU7240673,ZIMU,08d9912a-ee57-4c98-bf67-a70574a46922,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,ZIMUNGB9704776,,2021-07-30 01:23:07.515966,2021-07-30 01:31:30.098961,t,t
45,ZCSU7381803,ZIMU,94fe5959-d0e6-416c-bcdc-75959ced1a46,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,ZIMUNGB9704776,,2021-07-30 01:23:07.525138,2021-07-30 01:31:33.442994,t,t
207,TCNU4564914,ZIMU,854c6b65-1cf3-47b5-859a-fb5ea90efab1,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,ZIMUHAI80031213,,2021-08-03 21:00:04.192346,2021-08-03 21:30:16.881763,t,t
13,INKU2382856,MEDU,45c29db9-946b-47f1-8223-e82d9df0f779,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,MEDUKA845230,,2021-07-27 00:06:43.518227,2021-07-27 00:08:04.936689,t,t
28,TCLU15296377,ONEY,7a948ca9-e965-47c5-b512-12feb47fffd5,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,ONEYDACB14230600,,2021-07-30 01:23:06.895388,2021-07-30 01:30:27.214494,f,f
38,TCNU1488934,HLCU,6167dbbe-0d22-4265-bd8a-46faceda01fd,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,HLCUDA1210600332,,2021-07-30 01:23:07.134763,2021-08-03 21:58:06.039997,f,f
205,TCLU5458442,ONEY,0f5e9171-2610-4890-b6a2-06e5f445e1fa,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,ONEYDACB14471600,,2021-08-03 21:00:04.149067,2021-08-03 21:30:10.312201,f,f
52,BMOU4860933,EGLV,d0708f82-172c-4813-89ff-b1a0275dc0a5,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,EGLV236100245777,,2021-07-30 21:00:03.98229,2021-08-02 22:53:47.991434,f,f
311,DFSU7464650,COSU,85fa847c-b0e5-4e98-94c6-d322c91a7438,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,COSU6304334090,,2021-08-10 14:00:04.57436,2021-08-10 14:30:03.591716,t,t
212,UACU5342430,HLCU,e254f0ab-5d05-44f7-a359-5cca067e6a4a,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,HLCUDA1210600365,,2021-08-03 21:00:04.484975,2021-08-03 21:30:33.240308,t,t
152,TLLU5507334,ONEY,5ea9e224-cb15-438a-9d8e-c83d165d8d12,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,ONEYPNHB19439900,,2021-07-30 21:00:05.251103,2021-07-30 21:35:58.828878,t,t
209,NYKU5238686,ONEY,03846288-fa18-4c5a-9d44-f52374358dd9,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,ONEYDACB14520800,,2021-08-03 21:00:04.3759,2021-08-03 21:30:23.488225,f,f
210,AXIU1365550,ONEY,c367136f-843f-4b4a-a2fd-92725e584b01,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,ONEYDACB14520800,,2021-08-03 21:00:04.385052,2021-08-03 21:30:26.759978,f,f
211,OOCU7821056,COSU,93bbdb3b-9c48-4377-b48d-88cf85553943,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,COSU6306929170,,2021-08-03 21:00:04.476101,2021-08-03 21:30:30.005017,f,f
213,CAIU9428331,COSU,99ccd1db-31de-444e-a5d5-22e89004f3b2,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,COSU6306929170,,2021-08-03 21:00:04.555014,2021-08-03 21:30:36.550676,f,f
214,CSLU6182287,COSU,48795982-0061-4575-aa3c-6c982bde3abe,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,COSU6306929170,,2021-08-03 21:00:04.563691,2021-08-03 21:30:39.78657,f,f
215,CBHU5816262,COSU,cb82cc84-bfe4-44bb-9efd-28b164d28efa,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,COSU6306929170,,2021-08-03 21:00:04.572161,2021-08-03 21:30:43.044885,f,f
216,BEAU2044860,COSU,65fd9f70-5f20-4e6e-85a6-712455d79a35,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,COSU6305654100,,2021-08-03 21:00:04.593248,2021-08-03 21:30:46.290798,f,f
217,CCLU1918887,COSU,94a66a26-b165-4c1b-b3a9-36b6012a5748,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,COSU6305654100,,2021-08-03 21:00:04.601865,2021-08-03 21:30:49.789508,f,f
218,OOCU7443038,COSU,36e2da3d-6ab2-40ef-b7dd-65dac479b6e6,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,COSU6305654100,,2021-08-03 21:00:04.61018,2021-08-03 21:30:53.018608,f,f
219,NLLU4114635,OOLU,06788e12-71c7-492e-8444-91aae92b8502,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,OOLU2670294590,,2021-08-03 21:00:04.619404,2021-08-03 21:30:56.27686,f,f
220,OOLU1245915,COSU,dd977d34-272a-43cc-9db2-6edb884ff911,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,COSU6306660160,,2021-08-03 21:00:04.781651,2021-08-03 21:58:09.621519,f,f
221,CCLU7975366,COSU,815bc69e-f4fd-482b-9f34-31324b2e6c49,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,COSU6306660160,,2021-08-03 21:00:04.790722,2021-08-03 21:31:02.863814,f,f
222,DFSU7284047,COSU,3b54b10d-bdcd-42f9-8393-9af3587f133f,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,COSU6306660160,,2021-08-03 21:00:04.799435,2021-08-03 21:31:06.269802,f,f
223,CAIU8016495,MEDU,98ec2ac4-c644-4b59-b24a-eb82262eec98,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,MEDUKA893792,,2021-08-03 21:00:04.808117,2021-08-03 21:31:09.50914,f,f
