container_id,finished_journey,milestone_exists,eta_available
SEGU6093421,false,true,false
TCNU2664600,false,true,false
BEAU2044860,false,true,true
CCLU1918887,false,false,false
OOCU7443038,false,true,true
CCLU7672971,false,true,true
CCLU7884667,false,true,true
CCLU7971490,false,true,true
FFAU3458664,false,true,true
TLLU4486366,false,true,true
CSNU6672701,false,true,true
CCLU7771758,false,true,true
FSCU8535820,false,true,true
OOLU8302025,false,true,true
CBHU6290980,false,true,true
CCLU7975366,false,true,true
DFSU7284047,false,true,true
OOLU1245915,false,true,true
CBHU5520060,false,true,true
DFSU6265799,false,true,true
OOCU7821056,false,true,true
CAIU9428331,false,true,true
CBHU5816262,false,true,true
CSLU6182287,false,true,true
CBHU9580581,false,true,true
BEAU6239197,false,true,true
CBHU9131549,false,true,true
CSNU6247261,false,true,true
TGBU8717333,false,true,true
TEMU0096163,false,true,true
CSNU7637011,false,true,true
DFSU6317383,false,true,true
OOLU8448663,false,true,true
TCKU6183105,false,true,true
CBHU8964284,false,true,true
CBHU9418020,false,true,true
CSNU1076762,false,true,true
CSNU6400160,false,true,true
FFAU2879231,false,true,true
OOLU8616474,false,true,false
OOLU8616474,false,true,false
CCLU7167331,false,true,false
TRHU4736473,false,true,false
CSLU1532443,false,true,true
FFAU1583965,false,true,true
FFAU3273824,false,true,true
OOLU7534812,false,true,true
OOLU9802679,false,true,true
CSNU7240127,false,true,true
DFSU7347309,false,true,true
CSLU6071241,false,true,true
CBHU9109057,false,true,true
CBHU9441919,false,true,true
CSLU6071241,false,true,true
FCIU7199445,false,true,true
CCLU4360497,false,true,true
OOLU7500010,false,true,true
FFAU2707788,false,false,false
OOCU8457756,false,true,true
EGHU9785833,false,true,true
TRHU4766879,false,true,true
TRHU4937246,false,true,true
TRHU5109570,false,true,true
BMOU4470982,false,true,true
EISU9403840,false,true,true
EITU1795332,false,true,true
TGBU6892471,false,true,true
FCIU7063886,false,true,true
FCIU7513704,false,true,true
TCNU3671369,false,true,true
TGBU6934767,false,true,true
CAAU5346910,false,true,true
EGHU9828278,false,true,true
CAIU9790124,false,true,true
EGHU9270437,false,true,true
MAGU5298870,false,true,true
EITU1815995,false,true,true
TCLU7983692,false,true,true
EGHU9689700,false,true,true
TGBU4030159,false,true,true
TRHU5239384,false,true,true
FSCU8139795,false,true,true
TRHU5681610,false,true,true
DRYU9425143,false,true,true
EITU9240541,false,true,true
EGHU9055060,false,true,true
EGHU9345623,false,true,true
EITU1516891,false,true,true
EITU9056771,false,true,true
CAAU5420685,false,true,true
TEMU8539859,false,true,true
TEMU8690490,false,true,true
TEMU8914590,false,true,true
EITU9011078,false,true,true
EITU9141404,false,true,true
EITU1034610,false,true,true
BMOU5112330,container_id not in system,false,false
EITU1688545,container_id not in system,false,false
HMCU9010099,container_id not in system,false,false
CAIU9970194,false,true,true
GAOU6340626,false,true,true
TCLU4999550,false,true,true
CAIU9968345,false,true,true
HMMU6010407,false,true,true
SEGU5802374,false,true,true
KOCU4193389,false,true,true
KOCU4919070,false,true,true
BSIU9161111,false,true,true
CAIU7667960,false,true,true
HMMU6084523,false,true,true
KOCU4118050,false,true,true
KOCU4178194,false,true,true
KOCU4318254,false,true,true
KOCU4614169,false,true,true
TCNU5067609,false,true,true
CAIU4564870,false,true,true
CAIU7468931,false,true,true
TCNU5069068,false,true,true
TCNU7229890,false,true,true
BSIU9211850,false,true,true
GAOU6205117,true,true,false
KOCU4006045,true,true,false
KOCU4675605,true,true,false
KOCU4756857,true,true,false
SEGU6849416,false,false,false
KOCU4477261,false,true,true
KOCU4566353,false,true,true
HMMU6448456,false,true,true
MRSU4492688,false,false,false
SMCU1192022,false,false,false
TCNU1488934,false,true,false
HAMU1269494,false,true,true
TCNU8326529,false,true,true
TCNU8925527,false,true,true
FFAU1245525,false,true,true
MSMU5139314,false,true,true
CAIU8016495,false,true,true
TGCU5008699,false,true,true
TRHU6250958,false,true,true
TCNU5516422,false,true,false
TCNU4932430,true,true,false
AXIU1365550,false,true,true
NYKU5238686,false,true,true
BEAU5456650,false,true,true
FFAU1827172,false,true,true
TCLU4909963,false,true,true
TCLU8422227,false,true,true
FFAU1456889,false,true,true
TCLU4621283,false,true,true
TCLU5795783,false,true,true
TCNU5898217,false,true,true
TLLU5500983,false,true,true
TCLU5795783,false,true,true
TCLU5795783,false,true,true
BEAU5423126,false,true,true
TCNU9664222,true,true,false
KKTU7887918,true,true,false
TCNU9664222,true,true,false
KKFU7891195,false,true,false
KKFU7974514,false,true,false
KKTU7767126,false,true,true
KKTU7767126,false,true,true
TCLU6756170,false,true,true
TRLU9734229,false,true,true
TCLU6756170,false,true,true
TRHU2656450,false,true,true
CRSU9367040,false,true,true
KKFU7928885,false,true,true
NYKU4369465,false,true,true
TCLU9689250,false,true,true
TRHU4177333,false,true,true
FCIU9285028,false,true,true
SEGU4990765,false,true,true
FFAU1843825,false,true,true
GESU6557620,false,true,true
KKFU7923775,false,true,true
NYKU4108477,false,true,true
TCLU9826500,false,true,true
NYKU4425050,true,true,false
TLLU5457470,false,true,true
TLLU5474821,false,true,true
TRHU4358054,false,true,true
CAIU9323520,true,true,false
NYKU4803864,true,true,false
TCNU6423598,true,true,false
TCNU6648064,true,true,false
TLLU5507334,true,true,false
FDCU0634690,false,true,true
TCNU4863643,false,true,true
TCNU7773775,false,true,true
BMOU6596840,false,true,true
OOLU8963149,true,true,false
SLHU4500038,false,false,false
NLLU4114635,false,false,false
TCNU1687160,false,true,true
TCNU1687160,false,true,true
