Containers that do not have trackings,,,,
container_id,shipping_company,bill_of_lading,created_at,vizion_reference_id
YVN61774204,YVN6,YVN61774204,2021-10-01 21:07:12 UTC,
YVN61795915,YVN6,YVN61795915,2021-10-01 21:07:12 UTC,
------------ Containers with No Milestones -----------,,,,
MAGU5674920,,TOR210903201,2021-09-23 14:00:05 UTC,b461a298-2622-464b-b7a1-7bb9053e284c
SMCU1108562,HDMU,HDMUSELM13156400,2021-08-24 14:00:04 UTC,5c8edb76-0877-4557-9f82-4f9267ffb410
SMCU1140137,HDMU,HDMUSELM13156400,2021-08-24 14:00:04 UTC,ef86737a-34f7-44fc-9f05-5a479d8ddc9e
GAOU6016514,HDMU,HDMUSELM13156400,2021-08-24 14:00:04 UTC,dd87277a-c17a-4939-817c-efde851f9fa1
SMCU1103494,HDMU,HDMUSELM13156400,2021-08-24 14:00:04 UTC,267ea8e8-5c65-4139-9e8f-9eb79cb09f51
TCNU4758967,YMLU,YMLUW425910643,2021-08-24 14:00:04 UTC,fd3ad449-cb6e-484f-a250-c793cf6b7bbb
KOCU4668144,,GCNLCLAX10967630,2021-09-16 00:30:14 UTC,1fb436fb-9d39-4d78-8a74-54e5da175e80
FSCU8672401,,SHALAX18301X,2021-08-24 14:00:05 UTC,ba09c000-c983-43b7-aac6-7ece1b0c73ce
CAAU5048665,,WHLU100BA02330,2021-09-03 21:00:04 UTC,6db2516f-b683-4a81-bc60-6b5e959c8a22
TCKU7311221,,WHLU040BX05752,2021-09-03 21:00:04 UTC,59e8813e-16ad-485c-a33a-ed9654105789
BMOU1468240,,UCMICMX56386,2021-08-25 14:00:05 UTC,13c17780-0fca-44d8-9d38-37cfe27eca69
MRSU4097678,,SHLAX210705501,2021-08-25 14:00:05 UTC,e38fcff6-bbb1-463a-8d4d-ad53ca182cd0
DRYU9607976,,SEL1H2520500,2021-09-03 21:00:04 UTC,18253e0e-b5c6-467c-baab-bbc823e36f42
WHSU5822212,,040BX06150,2021-09-03 21:00:04 UTC,221393ec-2f4d-4402-8bf3-159dba94b319
BEAU4527297,YMLU,YMLUW490402570,2021-09-03 21:00:04 UTC,eaf62278-fe45-418a-afc9-7746aa368dce
CAIU4452715,,SMLMSHEG1A516600,2021-09-03 21:00:04 UTC,11e24b59-2dbb-4271-be7c-7c6988d816d8
WHSU6041493,,040BX06433,2021-09-03 21:00:05 UTC,223476ab-8615-4fbb-8387-42906d29d1c2
ZCSU7961838,,AYLSA210717682,2021-08-26 14:00:05 UTC,486ade59-fe6f-40b9-a60a-2c1a1fa8b389
OOCU6919285,,2676335170,2021-08-25 21:00:05 UTC,674fb59f-866e-41a3-a243-bd0cef707b3b
WHSU5275141,,NJLH060412770,2021-08-27 21:00:05 UTC,22e3462c-9062-4c8b-bfb7-81505332697f
OOCU7366271,,ITIKH2108049/8051,2021-08-27 21:00:05 UTC,dfde86ac-6a91-4482-8ea6-d3bbacd9a860
OOLU8350764,,ITIKH2108049/8051,2021-08-27 21:00:05 UTC,5ba4c020-f087-474c-b217-1b444e1d7322
MATU2678590,,SHA21080247C,2021-09-16 00:30:14 UTC,5ea02e35-d559-4f89-9482-1504865213ea
TEMU6002027,,ITIKH2108049/8051,2021-08-27 21:00:05 UTC,16076e93-fb4d-49b5-931b-4bef3b0e6132
EITU9226820,,SHTOR210809501,2021-09-16 00:30:14 UTC,de7a1d8b-591d-459a-aad8-5ff6facaceeb
KOCU2144404,,NLJSO 2108099-00,2021-08-31 21:00:05 UTC,8f72781d-db46-49ee-ab9c-0b4be4dffec4
KOCU4266119,,NLJSO 2108136-00,2021-08-31 21:00:05 UTC,a37bf674-ce93-4986-856d-0fa6b3f7fcf6
WHSU6267161,,KCHPH2107099,2021-09-03 21:00:05 UTC,8345b212-2b6d-41f3-911b-8a504d949de6
WHSU5731508,,040BA08171,2021-09-03 21:00:05 UTC,d056c143-698b-4a3d-8035-25fafbb39e63
WHSU5266509,,040BA08254,2021-09-03 21:00:05 UTC,e68d398c-17ca-45b2-9efb-cbc3228f7f16
WHSU6144172,,WHLC040BX06051,2021-09-03 21:00:05 UTC,3c5e2dc1-3b28-442f-912f-ab1cc043aa04
TGBU5999830,,CSRU21080281,2021-09-03 14:00:04 UTC,52352eb9-bc45-40a9-af4f-f76af83af9b4
CAIU4271487,,NJLH060412769,2021-09-03 14:00:05 UTC,2723ce6c-e5a4-493e-a235-a303e04e783f
TEMU8541990,,DFS030036239,2021-09-03 14:00:05 UTC,bad5c6f6-b87d-4da0-bcc5-ed2da4446936
TGBU6990478,,DFS030036258,2021-09-03 14:00:05 UTC,c0d6d183-d588-40cf-a509-7b1182fdc288
TRIU8024336,,MATS9060000000,2021-09-03 21:00:05 UTC,586e2e35-3cbc-45a0-8c40-00daf518d479
WHSU6054335,,WHLC100BX16531,2021-09-03 21:00:05 UTC,8688c4a5-c3b7-41c5-b445-ab15da949aaa
CMXA21080013,,CMXA21080013,2021-09-03 21:00:05 UTC,48577f21-358c-461b-bbbf-fdd485b4865c
FSCU8501862,,MATS8603795002,2021-09-03 21:00:05 UTC,814a2cef-647b-4757-a167-ffb0352aa9fe
SMLU7979069,,SMLU6725099A,2021-08-28 14:00:05 UTC,26ebd303-083b-47b1-ad16-bc6e5a37c9a2
WHLU5803536,,BHP210802998,2021-08-31 21:00:05 UTC,8baa3db9-513a-4010-a1e8-c093743584a4
FCIU7082654,,00LU2677436560,2021-09-16 00:30:14 UTC,d526302a-befa-433e-81f2-291550087be2
KOCU5168903,,PN1M32943200,2021-09-24 14:00:03 UTC,d61c78c9-1295-4630-9ce8-b16bd433bef2
TXGU5853730,,DFS030036245,2021-09-03 14:00:05 UTC,c13d57c3-f86a-4294-a173-45cbc4bb2772
TCKU6762236,,WHLC100BX18647,2021-09-03 21:00:05 UTC,e70aca54-174d-42f8-9f6b-16ca0e333c19
OOLU9194650,,NJLH060412572,2021-08-23 22:12:26 UTC,d6ea9582-e2af-4960-a9a2-5f719c77e475
CAAU5049471,,WHLC100BX18647,2021-09-03 21:00:05 UTC,3ee1528f-aa17-4966-aaa9-c73de98b97e9
MATU2729450,,LYSE21090086A,2021-09-03 21:00:05 UTC,09fefeba-45c2-493d-9150-e842d7cb2bec
MATU2672139,,LYSE21090087,2021-09-03 21:00:05 UTC,9c8389c8-55f0-43fd-9443-e71421476409
MATU4634077,,MATS5509431000,2021-09-03 21:00:05 UTC,4a2492c7-ecb7-4859-866c-f4c5b9b3d66b
SMCU1131109,,SHLGB210800201,2021-09-03 21:00:05 UTC,937a130f-8b57-4bd7-bfea-3d323ac6f518
TRHU4311397,,SAA210900865,2021-09-08 21:00:05 UTC,7ffa62c3-5791-4338-a109-a276166ab36c
SMCU7014012,,SHLAX210810201,2021-09-08 21:00:05 UTC,8fd45c08-21c5-4a88-833c-201fe3bbaca5
