Shipment Number,Container #,Bill Of Lading,,,Shipment #,Container #
0007501,SEGU6093421,CMDUCFA0423976,#N/A,,0007184,TCLU7537047
0007501,TCNU2664600,CMDUCFA0423976,#N/A,,0007243,CXDU2162167
0007516,BEAU2044860,COSU6305654100,#N/A,,0007243,FFAU2714334
0007516,CCLU1918887,COSU6305654100,#N/A,,0007243,MSCU7160162
0007516,OOCU7443038,COSU6305654100,#N/A,,0007274,MEDU8017039
0007461,CCLU7672971,COSU6305953240,#N/A,,0007274,TCLU5578026
0007461,CCLU7884667,COSU6305953240,#N/A,,0007275,TCLU5578026
0007461,CCLU7971490,COSU6305953240,#N/A,,0007388,EITU1943722
0007461,FFAU3458664,COSU6305953240,#N/A,,0007388,FCIU7522769
0007461,TLLU4486366,COSU6305953240,#N/A,,0007388,TCNU2120253
0007434,CSNU6672701,COSU6306092050,#N/A,,0007388,TGBU6939049
0007636,CCLU7771758,COSU6306451410,#N/A,,0007390,HMMU6084523
0007636,FSCU8535820,COSU6306451410,#N/A,,0007390,KOCU4118050
0007636,OOLU8302025,COSU6306451410,#N/A,,0007390,KOCU4178194
0007570,CBHU6290980,COSU6306523190,#N/A,,0007390,KOCU4318254
0007564,CCLU7975366,COSU6306660160,#N/A,,0007390,KOCU4614169
0007564,DFSU7284047,COSU6306660160,#N/A,,0007390,TCNU5067609
0007564,OOLU1245915,COSU6306660160,#N/A,,0007428,EGHU9675306
0007730,CBHU5520060,COSU6306929140,#N/A,,0007428,EITU1299625
0007730,DFSU6265799,COSU6306929140,#N/A,,0007428,EITU1452349
0007470,OOCU7821056,COSU6306929170,#N/A,,0007428,EITU9279409
0007505,CAIU9428331,COSU6306929170,#N/A,,0007439,BEAU4454210
0007505,CBHU5816262,COSU6306929170,#N/A,,0007439,TEMU6408314
0007505,CSLU6182287,COSU6306929170,#N/A,,0007439,TLLU4097549
0007504,CBHU9580581,COSU6306929270,#N/A,,0007465,EITU1287671
0007727,BEAU6239197,COSU6306941840,#N/A,,0007466,CAIU9968345
0007727,CBHU9131549,COSU6306941840,#N/A,,0007466,HMMU6010407
0007727,CSNU6247261,COSU6306941840,#N/A,,0007466,SEGU5802374
0007542,TGBU8717333,COSU6307049430,#N/A,,0007500,EISU8338376
0007623,TEMU0096163,COSU6307181380,#N/A,,0007533,CAAU5346910
0007656,CSNU7637011,COSU6307299930,#N/A,,0007533,EGHU9828278
0007656,DFSU6317383,COSU6307299930,#N/A,,0007534,DRYU9425143
0007656,OOLU8448663,COSU6307299930,#N/A,,0007534,EITU9240541
0007656,TCKU6183105,COSU6307299930,#N/A,,0007535,EGHU9055060
0007541,CBHU8964284,COSU6307465200,#N/A,,0007535,EGHU9345623
0007541,CBHU9418020,COSU6307465200,#N/A,,0007536,FCIU7063886
0007620,CSNU1076762,COSU6307465550,#N/A,,0007536,FCIU7513704
0007628,CSNU6400160,COSU6307635570,#N/A,,0007536,TCNU3671369
0007628,FFAU2879231,COSU6307635570,#N/A,,0007536,TGBU6934767
0007614,OOLU8616474,COSU6307881150,#N/A,,0007537,BMOU4470982
0007615,OOLU8616474,COSU6307881150,#N/A,,0007537,EISU9403840
0007551,CCLU7167331,COSU6307881700,#N/A,,0007537,EITU1795332
0007551,TRHU4736473,COSU6307881700,#N/A,,0007537,TGBU6892471
0007639,CSLU1532443,COSU6308021130,#N/A,,0007538,EGHU9785833
0007699,FFAU1583965,COSU6308193230,#N/A,,0007538,TRHU4766879
0007699,FFAU3273824,COSU6308193230,#N/A,,0007538,TRHU4937246
0007699,OOLU7534812,COSU6308193230,#N/A,,0007538,TRHU5109570
0007707,OOLU9802679,COSU6308306240,#N/A,,0007543,FSCU8139795
0007732,CSNU7240127,COSU6308361750,#N/A,,0007543,TRHU5681610
0007732,DFSU7347309,COSU6308361750,#N/A,,0007544,EITU1393499
0007776,CSLU6071241,COSU6308421400,#N/A,,0007544,EITU1425554
0007778,CBHU9109057,COSU6308421400,#N/A,,0007545,EGHU9689700
0007778,CBHU9441919,COSU6308421400,#N/A,,0007545,TGBU4030159
0007778,CSLU6071241,COSU6308421400,#N/A,,0007545,TRHU5239384
0007778,FCIU7199445,COSU6308421400,#N/A,,0007563,EITU1516891
0007773,CCLU4360497,COSU6308512400,#N/A,,0007563,EITU9056771
0007773,OOLU7500010,COSU6308512400,#N/A,,0007565,CAIU8016495
0007777,FFAU2707788,COSU6309241430,#N/A,,0007565,TGCU5008699
0007777,OOCU8457756,COSU6309241430,#N/A,,0007565,TRHU6250958
0007538,EGHU9785833,EGLV080100312002,0,,0007572,HMMU6448456
0007538,TRHU4766879,EGLV080100312002,0,,0007573,KOCU4193389
0007538,TRHU4937246,EGLV080100312002,0,,0007573,KOCU4919070
