Master_BOL,Container_num,outbound,ACS_in_house_ETA,vizion_ETA,NO_milestones
ONEYDACB14948800,BEAU5456650,Y,2021-09-09,#N/A,#N/A
ONEYDACB14948800,TCLU4909963,Y,2021-09-09,#N/A,#N/A
ONEYDACB14948800,FFAU1827172,Y,2021-09-09,#N/A,#N/A
HLCUDA1210600332,TCNU1488934,Y,2021-09-03,#N/A,#N/A
COSU6306929170,CAIU9428331,Y,2021-09-08,#N/A,#N/A
COSU6307465200,CBHU9418020,Y,2021-09-21,#N/A,#N/A
COSU6307049430,TGBU8717333,Y,2021-09-17,#N/A,#N/A
ONEYPNHB21187900,TCNU9142660,Y,#N/A,#N/A,#N/A
COSU6306925880,BEAU6164082,Y,2021-09-17,#N/A,#N/A
COSU6306925880,CCLU7277128,Y,2021-09-17,#N/A,#N/A
UCMICMX56346,CSNU1076762,Y,2021-09-17,#N/A,#N/A
UCMICMX56339,TEMU0096163,Y,2021-09-17,#N/A,#N/A
COSU6307465130,CBHU4443061,Y,2021-09-17,#N/A,#N/A
COSU6307465130,CCLU5293639,Y,2021-09-17,#N/A,#N/A
ONEYJKTBA5730600,NYKU4425050,Y,2021-09-13,#N/A,#N/A
COSU6305982460,CXDU2214039,Y,#N/A,#N/A,#N/A
ONEYJKTBA7916700,TRHU4358054,Y,2021-09-22,#N/A,#N/A
ONEYJKTBA7916700,TLLU5474821,Y,2021-09-22,#N/A,#N/A
ONEYJKTBA7916700,TLLU5457470,Y,2021-09-22,#N/A,#N/A
ITIKH2107034/40,OOLU9183168,Y,2021-09-21,#N/A,#N/A
JKTBA3615600,KKFU7947761,Y,2021-09-29,#N/A,#N/A
ONEYPNHB22468500,FDCU0634690,Y,2021-09-19,#N/A,#N/A
ONEYPNHB22468500,TCNU4863643,Y,2021-09-19,#N/A,#N/A
ONEYPNHB22468500,TCNU7773775,Y,2021-09-19,#N/A,#N/A
HLCUDA1210702018,TCNU8326529,Y,2021-08-29,#N/A,#N/A
YMLUN562227100,TEMU0736867,Y,#N/A,#N/A,#N/A
HDMUSELM90629800,KOCU4219415,Y,2021-09-09,#N/A,#N/A
CMDUBAC0264553,CMAU7842263,Y,2021-09-17,#N/A,#N/A
SFLBD2106657T,HAMU1269494,Y,2021-10-12,#N/A,#N/A
COSU6306941840,CBHU9131549,Y,2021-09-17,#N/A,#N/A
COSU6306941840,BEAU6239197,Y,2021-09-17,#N/A,#N/A
COSU6306941840,CSNU6247261,Y,2021-09-17,#N/A,#N/A
MEDUKA916163,MEDU2952100,Y,2021-10-01,#N/A,#N/A
SELM07843600,KOCU5070603,Y,2021-09-27,#N/A,#N/A
SELM07843600,KOCU4884570,Y,2021-09-27,#N/A,#N/A
COSU6309241430,OOCU8457756,Y,2021-09-21,#N/A,#N/A
ONEYDACB1679860,TCLU6756170,Y,2021-09-21,#N/A,#N/A
EGLV080100444618,EITU1070069,Y,2021-09-23,#N/A,#N/A
EGLV080100444618,BEAU4467650,Y,2021-09-23,#N/A,#N/A
EGLV080100444634,EGHU9226455,Y,2021-09-23,#N/A,#N/A
EGLV080100444634,TEMU6228400,Y,2021-09-23,#N/A,#N/A
EGLV080100444626,EGHU8309663,Y,2021-09-23,#N/A,#N/A
EGLV080100444626,DRYU9821205,Y,2021-09-23,#N/A,#N/A
ONEYDACB19067500,NYKU5224851,Y,2021-09-26,#N/A,#N/A
GP7317834,GVCU5089127,Y,2021-08-20,#N/A,#N/A
100BA02622,FBLU0023591,Y,2021-09-18,#N/A,#N/A
040BX06433,DFSU7662996,Y,2021-09-18,#N/A,#N/A
WHLC027B661905,TCNU5739935,Y,2021-09-13,#N/A,#N/A
100BA02611,WHSU5114450,Y,2021-09-18,#N/A,#N/A
100BA02611,WHLU5649610,Y,2021-09-18,#N/A,#N/A
WHLC027B656808,WHSU6518014,Y,2021-09-19,#N/A,#N/A
OOLU2674786241,TGBU5008421,Y,2021-09-21,#N/A,#N/A
ZIMUZAP907982,ZCSU8957909,Y,2021-09-25,#N/A,#N/A
YVN61774204,YVN61774204,Y,2021-08-17,#N/A,#N/A
ONEYJKTBC3271600,TRHU4027971,Y,2021-10-12,#N/A,#N/A
ONEYJKTBC3271600,TCNU6567002,Y,2021-10-12,#N/A,#N/A
NLJSO2108095-00,FCIU4831147,Y,2021-10-09,#N/A,#N/A
HDMUSELM56703600,HMMU6288229,Y,2021-09-30,#N/A,#N/A
HDMUSELM56703600,HMMU6200325,Y,2021-09-30,#N/A,#N/A
HDMUSELM56703600,HMMU6150991,Y,2021-09-30,#N/A,#N/A
HDMUJKTM51999000,BMOU4577672,Y,2021-09-25,#N/A,#N/A
YMLUW302503801,YMMU6053685,Y,2021-09-13,#N/A,#N/A
SELM49590600,KOCU4196285,Y,2021-09-30,#N/A,#N/A
040BX06935,WHSU6382226,Y,2021-09-24,#N/A,#N/A
OOLU2675897984,OOCU8166051,Y,2021-09-25,#N/A,#N/A
