carrier_code,scac_code
1,SUDU
2,ANNU
3,APLU
4,CMDU
5,COSU
6,AMCU
6,CGHU
6,CGMD
6,CGMN
6,CGMU
6,CMDU
7,SUDU
8,CMDU
9,COSU
9,CQGD
9,CQSQ
9,CSHI
9,CSNG
9,CSZH
9,CXMN
10,EGLV
11,HDMU
11,HDMZ
11,HMMU
11,HYUD
11,KMTZ
11,HADL
12,SUDU
12,HSDG
12,DNLU
12,ENAU
12,HASU
12,JLCU
12,KHJU
12,KHLU
12,PSNU
12,RMLU
13,HLCU
13,HLXU
13,HPGC
13,HLUS
14,ONEY
15,CMDU
16,MAEU
16,APMZ
16,CCMZ
16,DCLZ
16,DCSZ
16,MAEG
16,MAET
16,MCIU
16,MCSU
16,MKLN
16,MRUF
16,UMSZ
17,MOEZ
17,MOFZ
17,MOEU
17,MOFU
17,MOGU
17,MOLU
17,MORU
17,MORZ
17,MOSU
17,MOSZ
17,MOTU
17,MOTZ
17,MLNS
17,MOAU
18,MAEU
19,MSCU
19,MEDU
20,ONEY
20,NBAN
20,NBKW
20,NCCN
20,NLAT
20,NLUS
20,AKLU
20,EKLU
20,ESSU
20,KKFU
20,KKLU
20,KKTU
20,KLFU
20,KLTU
20,KMEU
20,KXTU
20,PXCU
20,CMDU
20,NYKU
21,OOLU
21,OOCC
21,OOCL
21,OOLL
22,CMDU
23,SAFM
24,MAEU
25,MAEU
26,HLCU
28,WECU
29,ZIMU
