CONTAINER,MBL,STATUS
ECMU4670610,CMDUBAC0254707,#N/A
APZU4512494,CMDUBAC0254707,#N/A
CAIU9339738,MEDUKA831479,#N/A
MEDU8303623,MEDUKA831479,#N/A
MSCU8293196,MEDUKA825901,#N/A
MEDU3637377,MEDUKA825984,#N/A
TGHU9117649,MEDUKA834101,#N/A
GESU6799250,ONEYDACB14131600,#N/A
TCNU4833757,ONEYDACB14131600,#N/A
SEGU5856874,ONEYDACB14131600,#N/A
TRHU4989620,ONEYDACB14131600,#N/A
CAIU8160877,MEDUKA834077,#N/A
TCLU4660335,ONEYDACB13814600,#N/A
TGHU4212155,MEDUKA859686,#N/A
MEDU1907391,MEDUKA859686,#N/A
GESU6157476,ONEYSGNBJ2126700,#N/A
MEDU8619545,MEDUKA834143,#N/A
SEGU4716559,MEDUKA834143,#N/A
SEGU2284991,CMDUBAC0255017,#N/A
GLDU9864000,CMDUBAC0255018,#N/A
OOLU8929036,OOLU2669679710,#N/A
OOLU1151550,OOLU267053477001,#N/A
FCIU9258906,EGLV236100250568,#N/A
TCNU7598590,CMDUCFA0418037,#N/A
MAGU5589602,COSU6305466310,#N/A
MEDU8693239,MEDUKA834143,#N/A
TCLU3385202,ONEYDACB14231700,#N/A
OOCU70993407,COSU6306596510,#N/A
